,anio,trimestre,pobreza_total,pobreza_formal,pobreza_informal,ingreso_total,ingreso_formal,ingreso_informal
0,2005,I,16.5,0.8,26.8,6677.89,10360.99,4246.08
1,2005,II,17.1,0.9,27.7,6651.84,10347.07,4234.24
2,2005,III,17.6,0.9,28.3,6618.29,10479.46,4151.38
3,2005,IV,16.1,0.7,26.1,6813.61,10674.35,4319.45
4,2006,I,15.6,0.7,25.6,6851.87,10610.62,4331.74
5,2006,II,15.7,0.6,25.5,6919.19,10697.64,4446.31
6,2006,III,16.4,0.7,27.0,6972.37,10845.47,4341.55
7,2006,IV,16.1,0.7,26.6,6832.15,10514.75,4295.17
8,2007,I,15.5,0.6,25.9,6920.56,10656.11,4321.2
9,2007,II,15.6,0.7,25.7,7018.15,10767.8,4443.21
10,2007,III,16.1,0.7,26.8,6940.37,10669.78,4361.85
11,2007,IV,17.8,0.8,29.1,6732.91,10485.02,4241.14
12,2008,I,16.2,0.7,26.9,6899.63,10524.99,4402.72
13,2008,II,16.2,0.8,26.5,6828.08,10424.86,4413.53
14,2008,III,16.8,0.8,27.6,6718.85,10325.68,4278.57
15,2008,IV,17.0,0.8,27.7,6463.46,9860.7,4211.71
16,2009,I,15.4,0.7,25.1,6562.44,9901.96,4353.7
17,2009,II,16.3,0.8,26.2,6513.67,10032.38,4270.04
18,2009,III,17.2,0.7,27.5,6271.18,9791.3,4076.8
19,2009,IV,17.7,0.7,28.0,6058.91,9458.69,3977.35
20,2010,I,16.2,0.9,25.9,6246.33,9609.07,4113.54
21,2010,II,16.9,0.9,26.8,6210.37,9707.29,4041.23
22,2010,III,17.3,0.8,27.7,6190.69,9580.12,4040.29
23,2010,IV,16.6,1.0,26.6,6109.29,9308.43,4067.38
24,2011,I,15.2,0.8,24.4,6227.62,9395.44,4200.98
25,2011,II,15.8,0.8,25.3,6185.15,9454.82,4118.86
26,2011,III,16.5,0.9,26.2,6134.41,9447.15,4093.56
27,2011,IV,17.5,0.9,27.7,5913.17,9167.09,3927.82
28,2012,I,15.7,0.9,25.0,6117.38,9277.03,4137.86
29,2012,II,16.6,0.9,26.2,6082.49,9339.84,4074.53
30,2012,III,17.6,1.0,27.8,5992.11,9272.29,3994.35
31,2012,IV,17.3,0.8,27.4,6008.75,9230.29,4027.87
32,2013,I,15.3,0.8,24.5,6159.8,9349.13,4131.49
33,2013,II,16.3,0.8,26.2,5983.38,9120.59,3995.2
34,2013,III,17.0,0.9,27.1,5933.69,9119.21,3936.2
35,2013,IV,17.2,1.0,27.5,5864.14,8922.03,3924.93
36,2014,I,15.6,0.9,25.3,5867.52,8804.82,3937.27
37,2014,II,16.2,1.0,26.3,5787.92,8683.07,3858.91
38,2014,III,16.8,0.9,27.3,5756.44,8733.2,3812.58
39,2014,IV,18.0,1.1,29.0,5649.47,8519.48,3779.63
40,2015,I,16.6,1.0,26.9,5812.16,8641.21,3939.66
41,2015,II,17.1,0.9,27.8,5830.02,8773.11,3896.46
42,2015,III,17.3,1.1,27.9,5914.23,8930.85,3936.83
43,2015,IV,17.3,1.0,27.7,5819.86,8779.01,3919.87
44,2016,I,15.6,1.0,25.4,5966.52,8772.71,4098.41
45,2016,II,15.9,1.0,25.9,5997.26,8886.62,4063.8
46,2016,III,16.1,1.0,26.1,6047.74,8958.73,4102.9
47,2016,IV,15.4,0.8,25.2,5998.1,8798.62,4117.39
48,2017,I,14.4,1.0,23.4,6049.37,8792.74,4206.75
49,2017,II,15.0,0.9,24.7,6010.4,8786.35,4105.03
50,2017,III,15.2,1.0,24.7,5959.51,8727.38,4122.27
51,2017,IV,15.5,1.1,24.9,5853.52,8567.57,4065.15
52,2018,I,14.0,1.0,22.9,6080.89,8744.12,4274.24
53,2018,II,14.5,0.9,23.8,6101.52,8848.04,4233.48
54,2018,III,14.9,0.9,24.4,6004.29,8746.33,4161.49
55,2018,IV,14.8,0.9,24.2,5933.52,8589.9,4143.64
56,2019,I,14.4,0.9,23.5,6142.57,8866.67,4286.92
57,2019,II,14.7,1.3,24.1,6128.58,8816.69,4249.59
58,2019,III,15.2,1.6,24.5,6085.84,8750.33,4254.64
59,2019,IV,14.6,1.4,23.8,6127.79,8807.77,4239.9
60,2020,I,12.1,1.1,20.1,6486.05,9195.97,4524.19
61,2020,II,,,,,,
62,2020,III,13.7,1.0,23.2,6235.77,8999.89,4159.31
63,2020,IV,13.1,0.7,22.0,6305.08,9082.95,4302.27
64,2021,I,12.9,1.0,21.7,6515.04,9277.99,4453.12
65,2021,II,13.3,1.0,22.0,6404.13,9171.19,4441.45
66,2021,III,13.7,0.9,22.8,6390.6,9211.04,4405.22
67,2021,IV,13.1,1.3,21.6,6284.85,8951.91,4379.58
68,2022,I,12.1,1.0,20.3,6611.78,9305.82,4623.27
69,2022,II,12.3,0.7,20.6,6534.04,9311.8,4544.1
70,2022,III,13.0,0.8,21.8,6367.66,9061.82,4444.86
71,2022,IV,12.7,0.8,21.4,6436.77,9077.72,4519.85
72,2023,I,12.5,1.1,20.9,6820.85,9553.94,4790.76
73,2023,II,12.8,1.0,21.5,6875.72,9720.93,4784.79
74,2023,III,13.0,1.0,21.8,6921.75,9817.49,4791.46
75,2023,IV,12.5,1.0,21.1,6945.33,9827.52,4799.28
76,2024,I,12.0,1.1,20.3,7318.09,10280.68,5051.33
77,2024,II,12.0,0.8,20.4,7441.06,10513.82,5119.51
78,2024,III,12.5,0.7,21.2,7397.27,10583.78,5018.76
79,2024,IV,11.9,0.8,20.1,7363.33,10349.13,5146.34
