,anio,trimestre,pobreza_total,pobreza_hombres,pobreza_mujeres,ingreso_total,ingreso_hombres,ingreso_mujeres
0,2005,I,16.5,14.0,20.9,6677.89,7421.18,5353.32
1,2005,II,17.1,14.5,21.6,6651.84,7410.56,5356.61
2,2005,III,17.6,15.0,22.1,6618.29,7318.11,5423.9
3,2005,IV,16.1,13.5,20.6,6813.61,7540.13,5587.89
4,2006,I,15.6,13.1,19.8,6851.87,7572.22,5631.87
5,2006,II,15.7,13.3,19.7,6919.19,7654.53,5672.52
6,2006,III,16.4,13.8,20.7,6972.37,7734.31,5698.6
7,2006,IV,16.1,13.5,20.2,6832.15,7593.16,5565.39
8,2007,I,15.5,13.0,19.7,6920.56,7673.48,5661.02
9,2007,II,15.6,13.2,19.5,7018.15,7812.78,5697.51
10,2007,III,16.1,13.7,20.1,6940.37,7664.61,5742.51
11,2007,IV,17.8,14.7,22.8,6732.91,7506.99,5477.63
12,2008,I,16.2,13.3,21.0,6899.63,7691.19,5592.41
13,2008,II,16.2,13.4,20.8,6828.08,7576.58,5590.82
14,2008,III,16.8,14.2,21.1,6718.85,7419.35,5545.05
15,2008,IV,17.0,14.3,21.4,6463.46,7133.33,5348.79
16,2009,I,15.4,12.8,19.6,6562.44,7218.32,5463.36
17,2009,II,16.3,14.1,20.1,6513.67,7148.18,5462.59
18,2009,III,17.2,14.7,21.3,6271.18,6881.76,5285.93
19,2009,IV,17.7,14.9,22.1,6058.91,6666.51,5076.62
20,2010,I,16.2,13.3,20.9,6246.33,6898.79,5169.15
21,2010,II,16.9,14.3,21.2,6210.37,6825.31,5202.95
22,2010,III,17.3,14.6,21.6,6190.69,6770.16,5242.06
23,2010,IV,16.6,14.4,20.3,6109.29,6653.13,5200.83
24,2011,I,15.2,12.7,19.4,6227.62,6796.45,5272.1
25,2011,II,15.8,13.2,20.1,6185.15,6768.12,5219.79
26,2011,III,16.5,13.8,21.1,6134.41,6711.04,5183.81
27,2011,IV,17.5,14.6,22.1,5913.17,6510.59,4970.99
28,2012,I,15.7,12.9,20.3,6117.38,6692.09,5184.87
29,2012,II,16.6,13.8,20.9,6082.49,6677.22,5134.33
30,2012,III,17.6,14.6,22.4,5992.11,6576.14,5058.38
31,2012,IV,17.3,14.8,21.2,6008.75,6576.84,5105.93
32,2013,I,15.3,12.9,19.1,6159.8,6743.6,5206.71
33,2013,II,16.3,14.0,20.1,5983.38,6516.52,5132.86
34,2013,III,17.0,14.9,20.4,5933.69,6429.98,5142.84
35,2013,IV,17.2,14.7,21.3,5864.14,6427.7,4966.35
36,2014,I,15.6,13.1,19.7,5867.52,6392.82,5010.37
37,2014,II,16.2,13.8,20.1,5787.92,6282.68,4980.89
38,2014,III,16.8,14.7,20.4,5756.44,6236.81,4963.47
39,2014,IV,18.0,15.1,22.8,5649.47,6148.14,4829.8
40,2015,I,16.6,13.8,21.2,5812.16,6327.47,4967.84
41,2015,II,17.1,14.1,22.1,5830.02,6359.37,4965.56
42,2015,III,17.3,14.4,21.9,5914.23,6431.23,5075.91
43,2015,IV,17.3,14.1,22.3,5819.86,6385.54,4921.09
44,2016,I,15.6,12.7,20.4,5966.52,6520.58,5068.1
45,2016,II,15.9,13.2,20.3,5997.26,6537.02,5130.02
46,2016,III,16.1,13.1,20.7,6047.74,6628.6,5120.14
47,2016,IV,15.4,12.7,19.9,5998.1,6554.14,5108.08
48,2017,I,14.4,11.6,18.9,6049.37,6592.06,5171.8
49,2017,II,15.0,12.5,19.1,6010.4,6543.55,5150.15
50,2017,III,15.2,12.9,19.0,5959.51,6471.32,5129.34
51,2017,IV,15.5,12.7,19.9,5853.52,6392.86,4983.61
52,2018,I,14.0,11.4,18.3,6080.89,6621.87,5208.51
53,2018,II,14.5,11.9,18.8,6101.52,6640.88,5242.16
54,2018,III,14.9,12.4,19.1,6004.29,6533.68,5149.72
55,2018,IV,14.8,12.1,19.1,5933.52,6481.87,5071.78
56,2019,I,14.4,11.4,19.1,6142.57,6734.27,5207.1
57,2019,II,14.7,11.7,19.4,6128.58,6712.09,5227.02
58,2019,III,15.2,12.5,19.3,6085.84,6665.16,5189.9
59,2019,IV,14.6,11.7,18.9,6127.79,6736.55,5204.84
60,2020,I,12.1,9.8,15.7,6486.05,7117.17,5531.62
61,2020,II,,,,,,
62,2020,III,13.7,12.1,16.2,6235.77,6625.27,5601.25
63,2020,IV,13.1,11.1,16.3,6305.08,6801.05,5535.24
64,2021,I,12.9,10.7,16.2,6515.04,6998.67,5746.5
65,2021,II,13.3,10.9,17.0,6404.13,6951.83,5560.91
66,2021,III,13.7,11.6,17.1,6390.6,6916.17,5581.78
67,2021,IV,13.1,11.0,16.5,6284.85,6835.84,5447.65
68,2022,I,12.1,9.9,15.5,6611.78,7169.93,5763.28
69,2022,II,12.3,10.0,15.8,6534.04,7124.25,5655.87
70,2022,III,13.0,10.8,16.4,6367.66,6893.67,5578.38
71,2022,IV,12.7,10.3,16.3,6436.77,7067.65,5522.43
72,2023,I,12.5,9.8,16.3,6820.85,7480.62,5860.84
73,2023,II,12.8,10.0,16.8,6875.72,7528.17,5935.87
74,2023,III,13.0,10.4,16.8,6921.75,7583.29,5971.4
75,2023,IV,12.5,10.0,16.2,6945.33,7598.45,6013.84
76,2024,I,12.0,9.2,15.9,7318.09,8029.47,6296.22
77,2024,II,12.0,9.4,15.7,7441.06,8137.81,6450.51
78,2024,III,12.5,9.9,16.1,7397.27,8067.53,6433.15
79,2024,IV,11.9,9.7,15.0,7363.33,8025.83,6431.81
